#c_cost,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.60 * ivt) / valueOfTime,(0.6*ivt) / valueOfTime
c_dacc_ratio,0,0,0,0,0,0,0,0,0,0
c_topology_walk,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt,15.00 * c_ivt
c_topology_bike,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt,20.00 * c_ivt
c_topology_trn,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt,2.20 * c_ivt
c_density_index,c_ivt / -5.0,c_ivt / -5.0,c_ivt / -5.0,c_ivt / -5.0,c_ivt / -5.0,c_ivt / -5.0,c_ivt / -5.0,c_ivt / -5.0,c_ivt / -5.0,c_ivt / -5.0
c_origin_density_index,c_density_index * 3,c_density_index * 3,c_density_index * 3,c_density_index * 3,c_density_index * 3,c_density_index * 3,c_density_index * 3,c_density_index * 3,c_density_index * 3,c_density_index * 3
c_origin_density_index_max,c_ivt * -15,c_ivt * -15,c_ivt * -15,c_ivt * -15,c_ivt * -15,c_ivt * -15,c_ivt * -15,c_ivt * -15,c_ivt * -15,c_ivt * -15
origin_density_applied,False,False,False,True,True,True,True,True,True,True
c_age1619_da,0,0,0,0,0,0,0,0,0,0
c_age010_trn,0,0,0,0,0,0,0,0,0,0
c_age16p_sr,0,0,0,0,0,0,0,0,0,0
c_hhsize1_sr,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346,-0.7346
c_hhsize2_sr,0,0,0,0,0,0,0,0,0,0
#free_parking_allowed,1,0,0,0,0,0,0,0,0,0
#indiv tour ASCs,,,,,,,,,,
sov_ASC_sr2,-999,-999,-999,0,-999,-999,-999,-999,-999,-999
sov_ASC_sr3p,-999,-999,-999,0,-999,-999,-999,-999,-999,-999
sov_ASC_walk,-0.8398,-1.0579,-71.8977,0,-1.4766,-1.3443,-1.2993,-1.8077,-1.5507,-1.7875
sov_ASC_rh,-7,-6.649,-5.6549,0,0,0,0,0,0,-7
sr2_ASC_sr2,0.754765345,1.38279975,-1.372899511,0.913900489,1.937100489,1.557700489,1.418000489,1.126900489,1.308400489,2.842100489
sr2_ASC_sr3p,-997.4706808,-997.5087565,-997.5547864,-997.5547864,-997.5547864,-997.5547864,-997.5547864,-997.5547864,-997.5547864,-997.5547864
sr2_ASC_walk,-2.603327477,0.341104197,-2.722349005,-3.738949005,-1.797849005,-1.759049005,-2.285049005,-2.479349005,-1.712949005,-0.507249005
sr2_ASC_rh,-7,-6.6897,-7,-7,-7,-7,-7,-7,-7,-7
sr3p_ASC_sr2,-0.455734655,0.64069975,-2.180099511,0.292400489,0.482500489,0.242800489,0.264800489,0.405000489,-0.053599511,1.599300489
sr3p_ASC_sr3p,1.345719215,2.120543403,-0.326586467,2.181013533,2.784713533,2.777513533,2.397913533,2.278313533,2.185013533,3.858013533
sr3p_ASC_walk,-2.512227477,0.716304197,-2.898849005,-2.693649005,-2.194049005,-1.729549005,-1.643949005,-1.999549005,-2.213349005,-0.875949005
sr3p_ASC_rh,-71.9177,-7,-6.6714,-7,-7,-7,-7,-7,-7,-6.026
walk_ASC_rh,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
bike_ASC_walk,-4.562627477,-1.302895803,-3.719349005,-15.206449,-2.710649005,-4.385149005,-2.256749005,-14.924549,-3.043849005,-6.739349005
bike_ASC_rh,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
walk_transit_ASC_lightrail,-2.815259815,2.836361262,-2.824586868,-3.742986868,-3.728986868,-3.728986868,-3.728986868,-3.728986868,-3.728986868,-3.728986868
#walk_transit_ASC_ferry,0.5277,1.7237,1.7237,0.6005,0.6466,0.6466,0.6466,0.6466,0.6466,0.6466
walk_transit_ASC_express,0.121306883,0.053655993,-48.36943612,-47.93713612,-48.02703612,-48.02703612,-48.02703612,-48.02703612,-48.02703612,-48.02703612
walk_transit_ASC_heavyrail,0.3538,0.849,0.849,0.5673,0.5403,0.5403,0.5403,0.5403,0.5403,0.5403
walk_transit_ASC_commuter,1.2033437,1.675290872,0.024349527,-0.339650473,-0.370950473,-0.370950473,-0.370950473,-0.370950473,-0.370950473,-0.370950473
walk_transit_ASC_sr2,-2.923234655,-3.05260025,-3.735499511,-2.067799511,-3.450899511,-2.582799511,-34.11399951,-2.805699511,-2.198399511,-22.09809951
walk_transit_ASC_sr3p,-2.602080785,-27.2059566,-2.421286467,-1.762186467,-2.939986467,-2.406786467,-27.94058647,-20.18568647,-1.067386467,-34.51278647
walk_transit_ASC_walk,-2.286127477,-1.994095803,-2.868949005,-2.683549005,-1.880449005,-0.335749005,-0.961349005,-2.451249005,-2.185849005,-1.169649005
walk_transit_ASC_rh,-3.7408,-4.2691,-7,-3.1136,-3.1136,-4.7508,-3.1136,-4.7508,-4.7508,-3.8506
drive_transit_ASC_lightrail,-2.815259815,2.836361262,-2.824586868,-3.742986868,-3.728986868,-3.728986868,-3.728986868,-3.728986868,-3.728986868,-3.728986868
#drive_transit_ASC_ferry,0.5277,1.7237,1.7237,0.6005,0.6466,0.6466,0.6466,0.6466,0.6466,0.6466
drive_transit_ASC_express,0.121306883,0.053655993,-48.36943612,-47.93713612,-48.02703612,-48.02703612,-48.02703612,-48.02703612,-48.02703612,-48.02703612
drive_transit_ASC_heavyrail,0.3538,0.849,0.849,0.5673,0.5403,0.5403,0.5403,0.5403,0.5403,0.5403
drive_transit_ASC_commuter,1.2033437,1.675290872,0.024349527,-0.339650473,-0.370950473,-0.370950473,-0.370950473,-0.370950473,-0.370950473,-0.370950473
drive_transit_ASC_rh,0.6674,-0.6328,-0.1272,0.687,0.687,3.5701,0.687,3.5701,3.5701,-6.952
ride_hail_ASC_sr2,-3.9085,-2.5785,-3.0613,-3.3353,-3.3353,-3.301,-3.3353,-3.301,-3.301,-4.2636
ride_hail_ASC_sr3p,-10.8661,-3.1888,-4.0886,-7,-7,-4.0649,-7,-4.0649,-4.0649,-7
ride_hail_ASC_walk,1.497,-10.8471,-1.2386,-7,-7,-1.3318,-7,-1.3318,-1.3318,-1.6755
ride_hail_ASC_walk_transit,-10.8661,-7,-7,-7,-7,-7,-7,-7,-7,-7
drive_transit_ASC_rh,-4.25,-4.25,-4.25,-4.25,-4.25,-4.25,-4.25,-4.25,-4.25,-4.25
ride_hail_ASC_sr2,-6.108,-4.3372,-1.5869,-5.6483,-5.6483,-5.9692,-5.6483,-5.9692,-5.9692,-5.2763
ride_hail_ASC_sr3p,-7,-4.922,-2.5362,-7,-7,-6.7199,-7,-6.7199,-6.7199,-7
ride_hail_ASC_walk,0.2858,-7,0.245,-7,-7,-3.3603,-7,-3.3603,-3.3603,-2.6103
ride_hail_ASC_walk_transit,0,0,0,0,0,0,0,0,0,0
ride_hail_ASC_taxi,-2.385,-1.5994,-0.5869,-3.6629,-3.6629,-2.5543,-3.6629,-2.5543,-2.5543,-1.7764
ride_hail_ASC_tnc_single,0.735,0.1081,0.3201,0.7879,0.7879,0.8274,0.7879,0.8274,0.8274,1.2143
ride_hail_ASC_tnc_shared,0,0,0,0,0,0,0,0,0,0
#joint tour ASCs,,,,,,,,,,
joint_auto_ASC_sr2,0,0,0,0,0.5875,-0.0634,-0.0634,-0.0634,-0.0634,0
joint_auto_ASC_sr3p,0,0,0,0,-19.0454,-0.1625,-0.1625,-0.1625,-0.1625,0
joint_auto_ASC_walk,0,0,0,0,-23.4688,-0.7144,-0.7144,-0.7144,-0.7144,0
joint_auto_ASC_rh,0,0,0,0,-7,-7,-7,-7,-7,0
joint_auto_ASC_rh,0,0,0,0,-7,-7,-7,-7,-7,0
joint_walk_ASC_rh,0,0,0,0,-3.0362,-3.0362,-3.0362,-3.0362,-3.0362,0
joint_bike_ASC_walk,0,0,0,0,-7.0476,-15.5588,-13.5192,-26.1714,-14.444,0
joint_bike_ASC_rh,0,0,0,0,-12.3057,-12.3057,-12.3057,-12.3057,-12.3057,0
joint_walk_transit_ASC_lightrail,0,0,0,0,0.5392,0.5392,0.5392,0.5392,0.5392,0
#joint_walk_transit_ASC_ferry,0,0,0,0,0.6466,0.6466,0.6466,0.6466,0.6466,0
joint_walk_transit_ASC_express,0,0,0,0,0.6648,0.6648,0.6648,0.6648,0.6648,0
joint_walk_transit_ASC_heavyrail,0,0,0,0,0.5403,0.5403,0.5403,0.5403,0.5403,0
joint_walk_transit_ASC_commuter,0,0,0,0,0.5129,0.5129,0.5129,0.5129,0.5129,0
joint_walk_transit_ASC_sr2,0,0,0,0,-21.5768,-14.9134,-5.323,-20.5022,-14.9801,0
joint_walk_transit_ASC_sr3p,0,0,0,0,-25.5953,-16.7587,-3.9563,-34.7378,-16.7354,0
joint_walk_transit_ASC_walk,0,0,0,0,-0.5472,2.3017,1.1876,-2.1301,-0.0024,0
joint_walk_transit_ASC_rh,0,0,0,0,1.2266,1.2266,1.2266,1.2266,1.2266,0
joint_drive_transit_ASC_lightrail,0,0,0,0,0.5392,0.5392,0.5392,0.5392,0.5392,0
#joint_drive_transit_ASC_ferry,0,0,0,0,0.6466,0.6466,0.6466,0.6466,0.6466,0
joint_drive_transit_ASC_express,0,0,0,0,0.6648,0.6648,0.6648,0.6648,0.6648,0
joint_drive_transit_ASC_heavyrail,0,0,0,0,0.5403,0.5403,0.5403,0.5403,0.5403,0
joint_drive_transit_ASC_commuter,0,0,0,0,0.5129,0.5129,0.5129,0.5129,0.5129,0
joint_drive_transit_ASC_rh,0,0,0,0,4.6138,4.6138,4.6138,4.6138,4.6138,0
joint_ride_hail_ASC_sr2,0,0,0,0,-7,-7,-7,-7,-7,0
joint_ride_hail_ASC_sr3p,0,0,0,0,-7,-7,-7,-7,-7,0
joint_ride_hail_ASC_walk,0,0,0,0,-7,-7,-7,-7,-7,0
joint_ride_hail_ASC_walk_transit,0,0,0,0,-7,-7,-7,-7,-7,0
joint_ride_hail_ASC_sr2,0,0,0,0,-7,-7,-7,-7,-7,0
joint_ride_hail_ASC_sr3p,0,0,0,0,-7,-7,-7,-7,-7,0
joint_ride_hail_ASC_walk,0,0,0,0,-7,-7,-7,-7,-7,0
joint_ride_hail_ASC_walk_transit,0,0,0,0,0,0,0,0,0,0
joint_ride_hail_ASC_taxi,0,0,0,0,-7,-7,-7,-7,-7,0
joint_ride_hail_ASC_tnc_single,0,0,0,0,-4.7339,-4.7339,-4.7339,-4.7339,-4.7339,0
joint_ride_hail_ASC_tnc_shared,0,0,0,0,0,0,0,0,0,0
#,,,,,,,,,,
c_walk_express_penalty,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt,10.00 * c_ivt
adjust_tnc_shared,30 * c_ivt,30 * c_ivt,30 * c_ivt,30 * c_ivt,30 * c_ivt,30 * c_ivt,30 * c_ivt,30 * c_ivt,30 * c_ivt,30 * c_ivt
