TAZID,OBJECTID,DISTRICT,SCHOOL,LEANUM,SCHOOLNUM,SCHOOLTYPE,EDTYPE,GRADELOW,GRADEHIGH,ADDRESS,CITY_2,ZIP,PHONE,WEB,ENROLL_FT,ENROLL_PT,ENROLL_TOT,Per_FT,Per_PT,data_source
62,,BOX ELDER,TRIUMPH CENTER FOR YOUTH,NV,951,Private School,Residential Treatment,7,12,82 S 800 W,BRIGHAM CITY,84302,4357238548,,,,,,,
63,,,,,,,,,,,,,,,,,,,,
64,,BOX ELDER,DALE YOUNG COMMUNITY HIGH,3,778,,Alternative,5,12,230 W 200 S,BRIGHAM CITY,84302,4357344834,http://www.dych.besd.net/,,,,,,
65,,BOX ELDER,BOX ELDER HIGH,3,708,,Regular Education,10,12,380 S 600 W,BRIGHAM CITY,84302,4357344840,http://www.behs.besd.net/,,,,,,
66,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,
70,,BOX ELDER,CATALYST PREPARATORY ACADEMY,NU,950,Private School,Residential Treatment,9,12,970 S 1025 W,BRIGHAM CITY,84302,4357234600,catalystrtc.com,,,,,,
70,,BOX ELDER,YOUNG INTERMEDIATE,3,308,,Regular Education,6,7,830 LAW DR,BRIGHAM CITY,84302,4357344940,http://www.acyi.besd.net/,,,,,,
71,,BOX ELDER,LAKE VIEW SCHOOL,3,150,,Regular Education,K,5,851 S 200 W,BRIGHAM CITY,84302,4357344922,http://www.lakeview.besd.net/,,,,,,
72,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,
79,,BOX ELDER,MOUNTAIN VIEW SCHOOL,3,166,,Regular Education,K,5,650 E 700 S,BRIGHAM CITY,84302,4357344926,http://www.mountainview.besd.net/,,,,,,
80,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,
82,,BOX ELDER,UTAH STATE UNIVERSITY BRIGHAM CITY CAMPUS,,,Regional Campus,Higher Education,,,265 W 1100 S,BRIGHAM CITY,84302,435 9191200,,195,639,834,0.23381295,0.76618705,https://www.usu.edu/aaa/enrollment.cfm
83,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,
88,,BOX ELDER,THREE MILE CREEK SCHOOL,3,172,,Regular Education,2,5,1030 W 2625 S,PERRY,84302,4357344930,http://www.threemilecreek.besd.net/,,,,,,
89,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,
97,,BOX ELDER,PROMONTORY SCHOOL OF EXPEDITIONARY LEARNING,6H,100,Charter School,Regular Education,K,8,1051 W 2700 S,PERRY,84302,4359191900,http://promontoryschool.org,,,,,,
98,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,
117,,BOX ELDER,WILLARD SCHOOL,3,200,,Regular Education,K,1,40 W 50 S,WILLARD,84340,4357344934,http://www.willard.besd.net/,,,,,,
118,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,
148,1255,WEBER COUNTY,PLAIN CITY SCHOOL,35,140,,Regular Education,K,6,2335 N 3600 W,PLAIN CITY,84404,8014524220,http://www.pce.weber.k12.ut.us,,,,,,
149,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,
151,401,WEBER COUNTY,FARR WEST SCHOOL,35,113,,Regular Education,K,6,2190 W 2700 N,OGDEN,84404,8014524360,http://www.fwe.weber.k12.ut.us,,,,,,
152,1122,WEBER COUNTY,WAHLQUIST JR HIGH,35,416,,Regular Education,7,9,2656 N 2400 W,FARR WEST,84404,8014524640,http://www.wjr.weber.k12.ut.us,,,,,,
153,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,
159,491,WEBER COUNTY,FREMONT HIGH,35,706,,Regular Education,10,12,1900 N 4700 W,PLAIN CITY,84404,8014524000,http://www.fhs.weber.k12.ut.us,,,,,,
160,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,
169,519,WEBER COUNTY,WEST WEBER SCHOOL,35,164,,Regular Education,K,6,1033 N 1200 W,OGDEN,84404,8014524280,http://www.wsdpc.org,,,,,,
170,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,
183,407,WEBER COUNTY,LOMOND VIEW SCHOOL,35,120,,Regular Education,K,6,3644 N 900 W,OGDEN,84414,8014524780,http://www.lve.weber.k12.ut.us,,,,,,
183,490,WEBER COUNTY,WEBER HIGH,35,704,,Regular Education,10,12,430 W WEBER HIGH DR,OGDEN,84414,8014763700,http://www.whs.weber.k12.ut.us,,,,,,
184,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,
187,391,WEBER COUNTY,BATES SCHOOL,35,100,,Regular Education,K,6,850 E 3100 N,OGDEN,84414,8014524580,http://www.be.weber.k12.ut.us,,,,,,
188,,,,,,,,,,,,,,,,,,,,
189,520,WEBER COUNTY,NORTH OGDEN JR HIGH,35,402,,Regular Education,7,9,575 E 2900 N,OGDEN,84414,8014524800,http://www.noj.weber.k12.ut.us,,,,,,
190,,,,,,,,,,,,,,,,,,,,
191,411,WEBER COUNTY,NORTH OGDEN SCHOOL,35,128,,Regular Education,K,6,530 E 2650 N,OGDEN,84414,8014524300,http://www.noe.weber.k12.ut.us,,,,,,
192,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,
196,404,WEBER COUNTY,MAJESTIC SCHOOL,35,121,,Regular Education,K,6,425 W 2550 N,OGDEN,84414,8014524260,http://www.mje.weber.k12.ut.us,,,,,,
196,734,WEBER COUNTY,ORION JR HIGH,35,405,,Regular Education,7,9,370 W 2000 N,HARRISVILLE,84414,8014524700,http://www.orion.weber.k12.ut.us,,,,,,
196,788,WEBER COUNTY,MARIA MONTESSORI ACADEMY,4G,100,Charter School,Regular Education,K,9,2505 N 200 E,OGDEN,84414,8018270150,http://www.mariamontessoriacademy.org/,,,,,,
197,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,
200,53,WEBER COUNTY,GREENWOOD CHARTER SCHOOL,7J,100,Charter School,Regular Education,K,6,840 NORTH HIGHWAY 89,OGDEN,84404,8015902972,www.greenwoodcharter.org,,,,,,
201,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,
204,398,WEBER COUNTY,GREEN ACRES SCHOOL,35,111,,Regular Education,K,6,640 E 1900 N,OGDEN,84414,8014524420,http://www.gae.weber.k12.ut.us,,,,,,
205,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,
207,1125,OGDEN CITY,LINCOLN SCHOOL,37,139,,Regular Education,PK,6,1235 N CANFIELD DR,OGDEN,84404,8017377650,http://www.lces.ogden.k12.ut.us/,,,,,,
208,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,
212,1234,WEBER COUNTY,VENTURE ACADEMY,3F,100,Charter School,Regular Education,K,12,495 N 1500 W,MARRIOTT-SLATERVILLE CITY,84404,8013933900,http://www.venturelearning.org,,,,,,
213,408,WEBER COUNTY,PIONEER SCHOOL,35,138,,Regular Education,K,6,250 N 1600 W,OGDEN,84404,8014524560,http://www.pe.weber.k12.ut.us,,,,,,
214,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,
217,1261,OGDEN CITY,HERITAGE SCHOOL,37,119,,Regular Education,K,6,373 S 150 W,OGDEN,84404,8017378000,http://www.hees.ogdensd.org/,,,,,,
218,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,
220,489,OGDEN CITY,OGDEN-WEBER ATC,1 3 4 35 37,44,Regional Campus,Higher Education,9,12,200 N WASHINGTON BLVD,OGDEN,84404,8016278300,http://www.owatc.edu/,2277,0,2277,1,0,https://www.collegetuitioncompare.com/edu/230490/ogden-weber-applied-technology-college/
221,561,OGDEN CITY,HIGHLAND JUNIOR HIGH,37,409,,Regular Education,7,9,325 GRAMERCY AVE,OGDEN,84404,8017377700,http://www.hjhs.ogden.k12.ut.us/,,,1235,,,
221,1259,OGDEN CITY,BONNEVILLE SCHOOL,37,103,,Regular Education,K,6,490 GRAMERCY AVE,OGDEN,84404,8017378900,http://www.bnes.ogden.k12.ut.us/,,,,,,
222,1260,OGDEN CITY,HILLCREST SCHOOL,37,123,,Regular Education,K,6,130 N ECCLES AVE,OGDEN,84404,8017377550,http://www.hces.ogden.k12.ut.us/,,,,,,
223,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,
227,742,OGDEN CITY,SUMMIT VIEW,35,419,,Alternative,4,9,1100 ORCHARD AVE,OGDEN,84404,8014764960,,,,,,,
227,590,OGDEN CITY,CANYON VIEW PRESCHOOL,35,179,,Special Education,PK,,1100 ORCHARD AVE,OGDEN,84404,8016262516,,,,,,,
228,79,OGDEN CITY,BEN LOMOND HIGH,37,703,,Regular Education,10,12,1080 9TH STREET,OGDEN,84404,8017377900,http://www.blhs.ogden.k12.ut.us/,,,,,,
229,80,OGDEN CITY,HORACE MANN SCHOOL,37,131,,Regular Education,K,6,1300 - 9TH STREET,OGDEN,84404,8017377600,http://www.hmes.ogden.k12.ut.us/,,,,,,
229,652,OGDEN CITY,NORTH REGION DEAF,41,121,,Special Education,K,12,742 HARRISON BLVD,OGDEN,84404,8016294700,,,,,,,
229,634,OGDEN CITY,NORTH REGION BLIND,41,111,,Special Education,K,12,742 HARRISON BLVD,OGDEN,84404,8016294735,http://www.usdb.org,,,,,,
230,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,
247,819,WEBER COUNTY,DEAMUDE ADVENTIST CHRISTIAN SCHOOL,NP,910,Private School,Regular Education,K,8,1765 W 2100 S,OGDEN,84401,8017313140,,,,,,,
248,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,
255,402,WEBER COUNTY,KANESVILLE SCHOOL,35,114,,Regular Education,K,6,3112 S 3500 W,WEST HAVEN,84401,8014524680,http://www.ke.weber.k12.ut.us,,,,,,
256,814,WEBER COUNTY,QUEST ACADEMY,1F,100,Charter School,Regular Education,K,9,4862 W 4000 S,WEST HAVEN,84401,8017319859,http://www.questacademycharter.org,,,,,,
257,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,
271,400,WEBER COUNTY,HOOPER SCHOOL,35,112,,Regular Education,K,6,5500 S 5900 W,HOOPER,84315,8014524320,http://www.he.weber.k12.ut.us,,,,,,
272,,,,,,,,,,,,,,,,,,,,
273,1254,WEBER COUNTY,COUNTRY VIEW SCHOOL,35,109,,Regular Education,K,6,4650 W 4800 S,WEST HAVEN CITY,84401,8014524400,http://www.cve.weber.k12.ut.us,,,,,,
273,1256,WEBER COUNTY,ROCKY MOUNTAIN JR HIGH,35,403,,Regular Education,7,9,4350 W 4800 S,WEST HAVEN CITY,84401,8014765220,http://www.rmjr.weber.k12.ut.us,,,,,,
274,,,,,,,,,,,,,,,,,,,,
275,668,WEBER COUNTY,FREEDOM SCHOOL,35,115,,Regular Education,K,6,4555 W 5500 S,HOOPER,84315,8014524100,http://www.fe.weber.k12.ut.us,,,,,,
276,620,WEBER COUNTY,WEST HAVEN SCHOOL,35,162,,Regular Education,K,6,4385 S 3900 W,WEST HAVEN,84401,8014524960,http://www.whe.weber.k12.ut.us,,,,,,
277,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,
280,409,WEBER COUNTY,MIDLAND SCHOOL,35,123,,Regular Education,K,6,3100 W 4800 S,ROY,84067,8014765400,http://www.mie.weber.k12.ut.us,,,,,,
281,,,,,,,,,,,,,,,,,,,,
282,420,WEBER COUNTY,NORTH PARK SCHOOL,35,132,,Regular Education,K,6,4046 S 2175 W,ROY,84067,8014524340,http://www.npe.weber.k12.ut.us,,,,,,
283,513,WEBER COUNTY,VALLEY VIEW SCHOOL,35,158,,Regular Education,K,6,2465 W 4500 S,ROY,84067,8014765200,http://www.vve.weber.k12.ut.us,,,,,,
284,493,WEBER COUNTY,ROY HIGH,35,708,,Regular Education,10,12,2150 W 4800 S,ROY,84067,8014763600,http://www.rhs.weber.k12.ut.us,,,,,,
284,425,WEBER COUNTY,SAND RIDGE JR HIGH,35,406,,Regular Education,7,9,2075 W 4600 S,ROY,84067,8014765320,http://www.sridge.weber.k12.ut.us,,,,,,
285,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,
290,11,WEBER COUNTY,ANGIE'S KINDER ACADEMY,AK,901,Private School,Regular Education,PK,,3523 WEST 5600 SOUTH,ROY,84067,8017317315,www.angieskinderacademy.net,,,,,,
290,1178,WEBER COUNTY,WSU WEST CENTER IN ROY,,,Regional Campus,Higher Education,,,5627 S 3500 W,ROY,84067,8016268900,,1235,0,1235,1,0,wfrc
291,,,,,,,,,,,,,,,,,,,,
292,416,WEBER COUNTY,ROY SCHOOL,35,152,,Regular Education,K,6,2888 W 5600 S,ROY,84067,8014524160,http://www.re.weber.k12.ut.us,,,,,,
293,,,,,,,,,,,,,,,,,,,,
294,403,WEBER COUNTY,LAKEVIEW SCHOOL,35,116,,Regular Education,K,6,2025 W 5000 S,ROY,84067,8014524380,http://www.le.weber.k12.ut.us,,,,,,
295,,,,,,,,,,,,,,,,,,,,
296,424,WEBER COUNTY,ROY JR HIGH,35,404,,Regular Education,7,9,5400 S 2100 W,ROY,84067,8014765260,,,,,,,
297,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,
301,410,WEBER COUNTY,MUNICIPAL SCHOOL,35,124,,Regular Education,K,6,5775 S 2200 W,ROY,84067,8014524120,http://www.mue.weber.k12.ut.us,,,,,,
302,,,,,,,,,,,,,,,,,,,,
303,133,OGDEN CITY,WEBER INNOVATION HIGH SCHOOL,35,725,,Regular Education,9,12,1007 W 12TH STREET,OGDEN,84404,8014766500,innovation.wsd.net,,,,,,
303,1119,OGDEN CITY,TWO RIVERS HIGH,35,730,,Alternative,7,12,955 W 12TH ST,OGDEN,84404,8014763920,http://www.trhs.weber.k12.ut.us/,,,,,,
304,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,
307,1220,OGDEN CITY,OAKGROVE SCHOOL,NL,951,Private School,Alternative,7,12,1325 WASHINGTON BLVD,OGDEN,84401,8013991402,,,,,,,
307,1139,OGDEN CITY,OGDEN PREPARATORY ACADEMY,68,100,Charter School,Regular Education,K,9,1415 LINCOLN AVE,OGDEN,84404,8016272066,http://www.ogdenprep.org,,,,,,
308,,,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,
311,82,OGDEN CITY,MOUND FORT JUNIOR HIGH,37,411,,Regular Education,7,9,1400 MOUND FORT DR,OGDEN,84404,8017377800,http://www.mfjhs.ogden.k12.ut.us/,,,,,,
311,556,OGDEN CITY,GRAMERCY SCHOOL,37,111,,Regular Education,PK,6,1270 GRAMERCY AVE,OGDEN,84404,8017377500,http://www.gmes.ogden.k12.ut.us/,,,,,,
312,,,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,
322,619,OGDEN CITY,DAVINCI ACADEMY,A3,700,Charter School,Regular Education,K,12,2033 GRANT AVE,OGDEN,84401,8014090700,http://www.davinciacademy.org,,,,,,
323,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,
328,1180,OGDEN CITY,WEBER STATE DOWNTOWN,,,Regional Campus,Higher Education,,,2314 WASHINGTON BLVD,OGDEN,84401,8016268820,,,,,,,
329,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,
338,84,OGDEN CITY,NEW BRIDGE SCHOOL,37,158,,Regular Education,K,6,2150 JEFFERSON AVE,OGDEN,84401,8017378100,nbes.ogdensd.org,,,,,,
339,,,,,,,,,,,,,,,,,,,,
340,81,OGDEN CITY,JAMES MADISON SCHOOL,37,151,,Regular Education,PK,6,2563 MONROE BLVD,OGDEN,84401,8017378200,http://www.jmes.ogden.k12.ut.us/,,,,,,
341,566,OGDEN CITY,SPEC EDUC ATC,37,620,,Special Education,7,12,1950 MONROE BLVD,OGDEN,84401,8016258700,,,,,,,
341,484,OGDEN CITY,OGDEN PRESCHOOL,37,100,,Special Education,PK,,1950 MONROE BLVD,OGDEN,84401,8017377300,,,,,,,
341,640,OGDEN CITY,CONTRACTED SPECIAL EDUCATION,37,182,,Special Education,K,12,1950 MONROE BLVD,OGDEN,84401,8017377300,,,,,,,
342,,,,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,
344,95,OGDEN CITY,YMCA OF NORTHERN UTAH - WEBER COUNTY,YM,901,Private School,Regular Education,PK,,893 E 24TH STREET,OGDEN,84401,8018393385,www.ymcautah.org,,,,,,
345,,,,,,,,,,,,,,,,,,,,
346,831,OGDEN CITY,TAYLOR CANYON SCHOOL,37,175,,Regular Education,K,6,2130 TAYLOR AVE,OGDEN,84401,8017378950,http://www.tces.ogdensd.org/,,,,,,
347,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,,,,
353,574,OGDEN CITY,GEORGE WASHINGTON HIGH,37,729,,Alternative,7,12,455 28TH ST,OGDEN,84401,8017377400,http://www.whs.ogden.k12.ut.us/,,,,,,
354,,,,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,
