Token,File,Matrix,TimePeriod,name
SOVTOLL_TIME,skm_auto_Ok.mtx.omx,ivt_Tol_DA,MD,SOVTOLL_TIME__MD
SOVTOLL_DIST,skm_auto_Ok.mtx.omx,dist_Tol_DA,MD,SOVTOLL_DIST__MD
SOVTOLL_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,MD,SOVTOLL_BTOLL__MD
SOVTOLL_VTOLL,skm_auto_Ok.mtx.omx,Fee_Tol_DA,MD,SOVTOLL_VTOLL__MD
HOV2TOLL_TIME,skm_auto_Ok.mtx.omx,ivt_Tol_S2,MD,HOV2TOLL_TIME__MD
HOV2TOLL_DIST,skm_auto_Ok.mtx.omx,dist_Tol_S2,MD,HOV2TOLL_DIST__MD
HOV2TOLL_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,MD,HOV2TOLL_BTOLL__MD
HOV2TOLL_VTOLL,skm_auto_Ok.mtx.omx,Fee_Tol_S2,MD,HOV2TOLL_VTOLL__MD
HOV3TOLL_TIME,skm_auto_Ok.mtx.omx,ivt_Tol_S3,MD,HOV3TOLL_TIME__MD
HOV3TOLL_DIST,skm_auto_Ok.mtx.omx,dist_Tol_S3,MD,HOV3TOLL_DIST__MD
HOV3TOLL_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,MD,HOV3TOLL_BTOLL__MD
HOV3TOLL_VTOLL,skm_auto_Ok.mtx.omx,Fee_Tol_S3,MD,HOV3TOLL_VTOLL__MD
SOV_TIME,skm_auto_Pk.mtx.omx,ivt_GP,PM,SOV_TIME__PM
SOV_DIST,skm_auto_Pk.mtx.omx,dist_GP,PM,SOV_DIST__PM
SOV_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,PM,SOV_BTOLL__PM
HOV2_TIME,skm_auto_Pk.mtx.omx,ivt_HOV_S2,PM,HOV2_TIME__PM
HOV2_DIST,skm_auto_Pk.mtx.omx,dist_HOV_S2,PM,HOV2_DIST__PM
HOV2_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,PM,HOV2_BTOLL__PM
HOV3_TIME,skm_auto_Pk.mtx.omx,ivt_HOV_S3,PM,HOV3_TIME__PM
HOV3_DIST,skm_auto_Pk.mtx.omx,dist_HOV_S3,PM,HOV3_DIST__PM
HOV3_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,PM,HOV3_BTOLL__PM
SOVTOLL_TIME,skm_auto_Pk.mtx.omx,ivt_Tol_DA,PM,SOVTOLL_TIME__PM
SOVTOLL_DIST,skm_auto_Pk.mtx.omx,dist_Tol_DA,PM,SOVTOLL_DIST__PM
SOVTOLL_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,PM,SOVTOLL_BTOLL__PM
SOVTOLL_VTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,PM,SOVTOLL_VTOLL__PM
HOV2TOLL_TIME,skm_auto_Pk.mtx.omx,ivt_Tol_S2,PM,HOV2TOLL_TIME__PM
HOV2TOLL_DIST,skm_auto_Pk.mtx.omx,dist_Tol_S2,PM,HOV2TOLL_DIST__PM
HOV2TOLL_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,PM,HOV2TOLL_BTOLL__PM
HOV2TOLL_VTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_S2,PM,HOV2TOLL_VTOLL__PM
HOV3TOLL_TIME,skm_auto_Pk.mtx.omx,ivt_Tol_S3,PM,HOV3TOLL_TIME__PM
HOV3TOLL_DIST,skm_auto_Pk.mtx.omx,dist_Tol_S3,PM,HOV3TOLL_DIST__PM
HOV3TOLL_BTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_DA,PM,HOV3TOLL_BTOLL__PM
HOV3TOLL_VTOLL,skm_auto_Pk.mtx.omx,Fee_Tol_S3,PM,HOV3TOLL_VTOLL__PM
DIST,skm_auto_Pk.mtx.omx,xydist,,DIST
DISTWALK,skm_auto_Pk.mtx.omx,xydist,,DISTWALK
DISTBIKE,skm_auto_Pk.mtx.omx,xydist,,DISTBIKE
DRV_COM_WLK_WAIT,skm_d8_Pk.mtx.omx,INITWAIT+XFERWAIT,AM,DRV_COM_WLK_WAIT__AM
DRV_COM_WLK_TOTIVT,skm_d8_Pk.mtx.omx,T8+DRIVETIME,AM,DRV_COM_WLK_TOTIVT__AM
DRV_COM_WLK_KEYIVT,skm_d8_Pk.mtx.omx,T8,AM,DRV_COM_WLK_KEYIVT__AM
DRV_COM_WLK_FAR,skm_d8_Pk.mtx.omx,XFARE,AM,DRV_COM_WLK_FAR__AM
DRV_COM_WLK_DTIM,skm_d8_Pk.mtx.omx,DRIVETIME,AM,DRV_COM_WLK_DTIM__AM
DRV_COM_WLK_DDIST,skm_d8_Pk.mtx.omx,DRIVEDIST,AM,DRV_COM_WLK_DDIST__AM
DRV_COM_WLK_WAUX,skm_d8_Pk.mtx.omx,WALKTIME,AM,DRV_COM_WLK_WAUX__AM
DRV_COM_WLK_IWAIT,skm_d8_Pk.mtx.omx,INITWAIT,AM,DRV_COM_WLK_IWAIT__AM
DRV_COM_WLK_XWAIT,skm_d8_Pk.mtx.omx,XFERWAIT,AM,DRV_COM_WLK_XWAIT__AM
DRV_COM_WLK_BOARDS,skm_d8_Pk.mtx.omx,BOARDINGS,AM,DRV_COM_WLK_BOARDS__AM
DRV_EXP_WLK_WAIT,skm_d6_Pk.mtx.omx,INITWAIT+XFERWAIT,AM,DRV_EXP_WLK_WAIT__AM
DRV_EXP_WLK_TOTIVT,skm_d6_Pk.mtx.omx,T6+DRIVETIME,AM,DRV_EXP_WLK_TOTIVT__AM
DRV_EXP_WLK_KEYIVT,skm_d6_Pk.mtx.omx,T6,AM,DRV_EXP_WLK_KEYIVT__AM
DRV_EXP_WLK_FAR,skm_d6_Pk.mtx.omx,XFARE,AM,DRV_EXP_WLK_FAR__AM
DRV_EXP_WLK_DTIM,skm_d6_Pk.mtx.omx,DRIVETIME,AM,DRV_EXP_WLK_DTIM__AM
DRV_EXP_WLK_WAUX,skm_d6_Pk.mtx.omx,DRIVEDIST,AM,DRV_EXP_WLK_WAUX__AM
DRV_EXP_WLK_IWAIT,skm_d6_Pk.mtx.omx,WALKTIME,AM,DRV_EXP_WLK_IWAIT__AM
DRV_EXP_WLK_XWAIT,skm_d6_Pk.mtx.omx,INITWAIT,AM,DRV_EXP_WLK_XWAIT__AM
DRV_EXP_WLK_BOARDS,skm_d6_Pk.mtx.omx,XFERWAIT,AM,DRV_EXP_WLK_BOARDS__AM
DRV_EXP_WLK_DDIST,skm_d6_Pk.mtx.omx,BOARDINGS,AM,DRV_EXP_WLK_DDIST__AM
DRV_HVY_WLK_WAIT,skm_d9_Pk.mtx.omx,INITWAIT+XFERWAIT,AM,DRV_HVY_WLK_WAIT__AM
DRV_HVY_WLK_TOTIVT,skm_d9_Pk.mtx.omx,T9+DRIVETIME,AM,DRV_HVY_WLK_TOTIVT__AM
DRV_HVY_WLK_KEYIVT,skm_d9_Pk.mtx.omx,T9,AM,DRV_HVY_WLK_KEYIVT__AM
DRV_HVY_WLK_FAR,skm_d9_Pk.mtx.omx,XFARE,AM,DRV_HVY_WLK_FAR__AM
DRV_HVY_WLK_DTIM,skm_d9_Pk.mtx.omx,DRIVETIME,AM,DRV_HVY_WLK_DTIM__AM
DRV_HVY_WLK_DDIST,skm_d9_Pk.mtx.omx,DRIVEDIST,AM,DRV_HVY_WLK_DDIST__AM
DRV_HVY_WLK_WAUX,skm_d9_Pk.mtx.omx,WALKTIME,AM,DRV_HVY_WLK_WAUX__AM
DRV_HVY_WLK_IWAIT,skm_d9_Pk.mtx.omx,INITWAIT,AM,DRV_HVY_WLK_IWAIT__AM
DRV_HVY_WLK_XWAIT,skm_d9_Pk.mtx.omx,XFERWAIT,AM,DRV_HVY_WLK_XWAIT__AM
DRV_HVY_WLK_BOARDS,skm_d9_Pk.mtx.omx,BOARDINGS,AM,DRV_HVY_WLK_BOARDS__AM
DRV_LOC_WLK_WAIT,skm_d4_Pk.mtx.omx,INITWAIT+XFERWAIT,AM,DRV_LOC_WLK_WAIT__AM
DRV_LOC_WLK_TOTIVT,skm_d4_Pk.mtx.omx,T4+DRIVETIME,AM,DRV_LOC_WLK_TOTIVT__AM
DRV_LOC_WLK_KEYIVT,skm_d4_Pk.mtx.omx,T4,AM,DRV_LOC_WLK_KEYIVT__AM
DRV_LOC_WLK_FAR,skm_d4_Pk.mtx.omx,XFARE,AM,DRV_LOC_WLK_FAR__AM
DRV_LOC_WLK_DTIM,skm_d4_Pk.mtx.omx,DRIVETIME,AM,DRV_LOC_WLK_DTIM__AM
DRV_LOC_WLK_DDIST,skm_d4_Pk.mtx.omx,DRIVEDIST,AM,DRV_LOC_WLK_DDIST__AM
DRV_LOC_WLK_WAUX,skm_d4_Pk.mtx.omx,WALKTIME,AM,DRV_LOC_WLK_WAUX__AM
DRV_LOC_WLK_IWAIT,skm_d4_Pk.mtx.omx,INITWAIT,AM,DRV_LOC_WLK_IWAIT__AM
DRV_LOC_WLK_XWAIT,skm_d4_Pk.mtx.omx,XFERWAIT,AM,DRV_LOC_WLK_XWAIT__AM
DRV_LOC_WLK_BOARDS,skm_d4_Pk.mtx.omx,BOARDINGS,AM,DRV_LOC_WLK_BOARDS__AM
DRV_LRF_WLK_WAIT,skm_d7_Pk.mtx.omx,INITWAIT+XFERWAIT,AM,DRV_LRF_WLK_WAIT__AM
DRV_LRF_WLK_TOTIVT,skm_d7_Pk.mtx.omx,T7+DRIVETIME,AM,DRV_LRF_WLK_TOTIVT__AM
DRV_LRF_WLK_KEYIVT,skm_d7_Pk.mtx.omx,T7,AM,DRV_LRF_WLK_KEYIVT__AM
DRV_LRF_WLK_FAR,skm_d7_Pk.mtx.omx,XFARE,AM,DRV_LRF_WLK_FAR__AM
DRV_LRF_WLK_DTIM,skm_d7_Pk.mtx.omx,DRIVETIME,AM,DRV_LRF_WLK_DTIM__AM
DRV_LRF_WLK_DDIST,skm_d7_Pk.mtx.omx,DRIVEDIST,AM,DRV_LRF_WLK_DDIST__AM
DRV_LRF_WLK_WAUX,skm_d7_Pk.mtx.omx,WALKTIME,AM,DRV_LRF_WLK_WAUX__AM
DRV_LRF_WLK_IWAIT,skm_d7_Pk.mtx.omx,INITWAIT,AM,DRV_LRF_WLK_IWAIT__AM
DRV_LRF_WLK_XWAIT,skm_d7_Pk.mtx.omx,XFERWAIT,AM,DRV_LRF_WLK_XWAIT__AM
DRV_LRF_WLK_BOARDS,skm_d7_Pk.mtx.omx,BOARDINGS,AM,DRV_LRF_WLK_BOARDS__AM
WLK_COM_DRV_WAIT,skm_d8_Pk.mtx.omx,INITWAIT+XFERWAIT,AM,WLK_COM_DRV_WAIT__AM
WLK_COM_DRV_TOTIVT,skm_d8_Pk.mtx.omx,T8+DRIVETIME,AM,WLK_COM_DRV_TOTIVT__AM
WLK_COM_DRV_KEYIVT,skm_d8_Pk.mtx.omx,T8,AM,WLK_COM_DRV_KEYIVT__AM
WLK_COM_DRV_FAR,skm_d8_Pk.mtx.omx,XFARE,AM,WLK_COM_DRV_FAR__AM
WLK_COM_DRV_DTIM,skm_d8_Pk.mtx.omx,DRIVETIME,AM,WLK_COM_DRV_DTIM__AM
WLK_COM_DRV_DDIST,skm_d8_Pk.mtx.omx,DRIVEDIST,AM,WLK_COM_DRV_DDIST__AM
WLK_COM_DRV_WAUX,skm_d8_Pk.mtx.omx,WALKTIME,AM,WLK_COM_DRV_WAUX__AM
WLK_COM_DRV_IWAIT,skm_d8_Pk.mtx.omx,INITWAIT,AM,WLK_COM_DRV_IWAIT__AM
WLK_COM_DRV_XWAIT,skm_d8_Pk.mtx.omx,XFERWAIT,AM,WLK_COM_DRV_XWAIT__AM
WLK_COM_DRV_BOARDS,skm_d8_Pk.mtx.omx,BOARDINGS,AM,WLK_COM_DRV_BOARDS__AM
WLK_COM_WLK_WAIT,skm_w8_Pk.mtx.omx,INITWAIT+XFERWAIT,AM,WLK_COM_WLK_WAIT__AM
WLK_COM_WLK_TOTIVT,skm_w8_Pk.mtx.omx,T8,AM,WLK_COM_WLK_TOTIVT__AM
WLK_COM_WLK_KEYIVT,skm_w8_Pk.mtx.omx,T8,AM,WLK_COM_WLK_KEYIVT__AM
WLK_COM_WLK_FAR,skm_w8_Pk.mtx.omx,XFARE,AM,WLK_COM_WLK_FAR__AM
WLK_COM_WLK_WAUX,skm_w8_Pk.mtx.omx,WALKTIME,AM,WLK_COM_WLK_WAUX__AM
WLK_COM_WLK_IWAIT,skm_w8_Pk.mtx.omx,INITWAIT,AM,WLK_COM_WLK_IWAIT__AM
WLK_COM_WLK_XWAIT,skm_w8_Pk.mtx.omx,XFERWAIT,AM,WLK_COM_WLK_XWAIT__AM
WLK_COM_WLK_BOARDS,skm_w8_Pk.mtx.omx,BOARDINGS,AM,WLK_COM_WLK_BOARDS__AM
WLK_EXP_DRV_WAIT,skm_d6_Pk.mtx.omx,INITWAIT+XFERWAIT,AM,WLK_EXP_DRV_WAIT__AM
WLK_EXP_DRV_TOTIVT,skm_d6_Pk.mtx.omx,T6+DRIVETIME,AM,WLK_EXP_DRV_TOTIVT__AM
WLK_EXP_DRV_KEYIVT,skm_d6_Pk.mtx.omx,T6,AM,WLK_EXP_DRV_KEYIVT__AM
WLK_EXP_DRV_FAR,skm_d6_Pk.mtx.omx,XFARE,AM,WLK_EXP_DRV_FAR__AM
WLK_EXP_DRV_DTIM,skm_d6_Pk.mtx.omx,DRIVETIME,AM,WLK_EXP_DRV_DTIM__AM
WLK_EXP_DRV_WAUX,skm_d6_Pk.mtx.omx,DRIVEDIST,AM,WLK_EXP_DRV_WAUX__AM
WLK_EXP_DRV_IWAIT,skm_d6_Pk.mtx.omx,WALKTIME,AM,WLK_EXP_DRV_IWAIT__AM
WLK_EXP_DRV_XWAIT,skm_d6_Pk.mtx.omx,INITWAIT,AM,WLK_EXP_DRV_XWAIT__AM
WLK_EXP_DRV_BOARDS,skm_d6_Pk.mtx.omx,XFERWAIT,AM,WLK_EXP_DRV_BOARDS__AM
WLK_EXP_DRV_DDIST,skm_d6_Pk.mtx.omx,BOARDINGS,AM,WLK_EXP_DRV_DDIST__AM
WLK_EXP_WLK_WAIT,skm_w6_Pk.mtx.omx,INITWAIT+XFERWAIT,AM,WLK_EXP_WLK_WAIT__AM
WLK_EXP_WLK_TOTIVT,skm_w6_Pk.mtx.omx,T6,AM,WLK_EXP_WLK_TOTIVT__AM
WLK_EXP_WLK_KEYIVT,skm_w6_Pk.mtx.omx,T6,AM,WLK_EXP_WLK_KEYIVT__AM
WLK_EXP_WLK_FAR,skm_w6_Pk.mtx.omx,XFARE,AM,WLK_EXP_WLK_FAR__AM
WLK_EXP_WLK_WAUX,skm_w6_Pk.mtx.omx,WALKTIME,AM,WLK_EXP_WLK_WAUX__AM
WLK_EXP_WLK_IWAIT,skm_w6_Pk.mtx.omx,INITWAIT,AM,WLK_EXP_WLK_IWAIT__AM
WLK_EXP_WLK_XWAIT,skm_w6_Pk.mtx.omx,XFERWAIT,AM,WLK_EXP_WLK_XWAIT__AM
WLK_EXP_WLK_BOARDS,skm_w6_Pk.mtx.omx,BOARDINGS,AM,WLK_EXP_WLK_BOARDS__AM
WLK_HVY_DRV_WAIT,skm_d9_Pk.mtx.omx,INITWAIT+XFERWAIT,AM,WLK_HVY_DRV_WAIT__AM
WLK_HVY_DRV_TOTIVT,skm_d9_Pk.mtx.omx,T9+DRIVETIME,AM,WLK_HVY_DRV_TOTIVT__AM
WLK_HVY_DRV_KEYIVT,skm_d9_Pk.mtx.omx,T9,AM,WLK_HVY_DRV_KEYIVT__AM
WLK_HVY_DRV_FAR,skm_d9_Pk.mtx.omx,XFARE,AM,WLK_HVY_DRV_FAR__AM
WLK_HVY_DRV_DTIM,skm_d9_Pk.mtx.omx,DRIVETIME,AM,WLK_HVY_DRV_DTIM__AM
WLK_HVY_DRV_DDIST,skm_d9_Pk.mtx.omx,DRIVEDIST,AM,WLK_HVY_DRV_DDIST__AM
WLK_HVY_DRV_WAUX,skm_d9_Pk.mtx.omx,WALKTIME,AM,WLK_HVY_DRV_WAUX__AM
WLK_HVY_DRV_IWAIT,skm_d9_Pk.mtx.omx,INITWAIT,AM,WLK_HVY_DRV_IWAIT__AM
WLK_HVY_DRV_XWAIT,skm_d9_Pk.mtx.omx,XFERWAIT,AM,WLK_HVY_DRV_XWAIT__AM
WLK_HVY_DRV_BOARDS,skm_d9_Pk.mtx.omx,BOARDINGS,AM,WLK_HVY_DRV_BOARDS__AM
WLK_HVY_WLK_WAIT,skm_w9_Pk.mtx.omx,INITWAIT+XFERWAIT,AM,WLK_HVY_WLK_WAIT__AM
WLK_HVY_WLK_TOTIVT,skm_w9_Pk.mtx.omx,T9,AM,WLK_HVY_WLK_TOTIVT__AM
WLK_HVY_WLK_KEYIVT,skm_w9_Pk.mtx.omx,T9,AM,WLK_HVY_WLK_KEYIVT__AM
WLK_HVY_WLK_FAR,skm_w9_Pk.mtx.omx,XFARE,AM,WLK_HVY_WLK_FAR__AM
WLK_HVY_WLK_WAUX,skm_w9_Pk.mtx.omx,WALKTIME,AM,WLK_HVY_WLK_WAUX__AM
WLK_HVY_WLK_IWAIT,skm_w9_Pk.mtx.omx,INITWAIT,AM,WLK_HVY_WLK_IWAIT__AM
WLK_HVY_WLK_XWAIT,skm_w9_Pk.mtx.omx,XFERWAIT,AM,WLK_HVY_WLK_XWAIT__AM
WLK_HVY_WLK_BOARDS,skm_w9_Pk.mtx.omx,BOARDINGS,AM,WLK_HVY_WLK_BOARDS__AM
WLK_LOC_DRV_WAIT,skm_d4_Pk.mtx.omx,INITWAIT+XFERWAIT,AM,WLK_LOC_DRV_WAIT__AM
WLK_LOC_DRV_TOTIVT,skm_d4_Pk.mtx.omx,T4+DRIVETIME,AM,WLK_LOC_DRV_TOTIVT__AM
WLK_LOC_DRV_KEYIVT,skm_d4_Pk.mtx.omx,T4,AM,WLK_LOC_DRV_KEYIVT__AM
WLK_LOC_DRV_FAR,skm_d4_Pk.mtx.omx,XFARE,AM,WLK_LOC_DRV_FAR__AM
WLK_LOC_DRV_DTIM,skm_d4_Pk.mtx.omx,DRIVETIME,AM,WLK_LOC_DRV_DTIM__AM
WLK_LOC_DRV_DDIST,skm_d4_Pk.mtx.omx,DRIVEDIST,AM,WLK_LOC_DRV_DDIST__AM
WLK_LOC_DRV_WAUX,skm_d4_Pk.mtx.omx,WALKTIME,AM,WLK_LOC_DRV_WAUX__AM
WLK_LOC_DRV_IWAIT,skm_d4_Pk.mtx.omx,INITWAIT,AM,WLK_LOC_DRV_IWAIT__AM
WLK_LOC_DRV_XWAIT,skm_d4_Pk.mtx.omx,XFERWAIT,AM,WLK_LOC_DRV_XWAIT__AM
WLK_LOC_DRV_BOARDS,skm_d4_Pk.mtx.omx,BOARDINGS,AM,WLK_LOC_DRV_BOARDS__AM
WLK_LOC_WLK_WAIT,skm_w4_Pk.mtx.omx,INITWAIT+XFERWAIT,AM,WLK_LOC_WLK_WAIT__AM
WLK_LOC_WLK_TOTIVT,skm_w4_Pk.mtx.omx,T4,AM,WLK_LOC_WLK_TOTIVT__AM
WLK_LOC_WLK_FAR,skm_w4_Pk.mtx.omx,T4,AM,WLK_LOC_WLK_FAR__AM
WLK_LOC_WLK_WAUX,skm_w4_Pk.mtx.omx,XFARE,AM,WLK_LOC_WLK_WAUX__AM
WLK_LOC_WLK_IWAIT,skm_w4_Pk.mtx.omx,WALKTIME,AM,WLK_LOC_WLK_IWAIT__AM
WLK_LOC_WLK_XWAIT,skm_w4_Pk.mtx.omx,INITWAIT,AM,WLK_LOC_WLK_XWAIT__AM
